dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,CH,GDO,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
RAS,CH,RFO,,,,,,,,,,,,,,,,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.119786494,-3.249347156,-3.371661684,-3.485768381,-3.596304062,-3.709678495,-3.422091045,-3.472475137,-3.509663134,-3.532663376,-3.540479208,-3.531175066,-3.501424495,-3.514646736,-3.521675336,-3.52367737,-3.522179702,-3.519129784,-3.517122237,-3.519738527,-3.520587159,-3.520405797,-3.519860534,-3.519474006,-3.519531377,-3.5199329,-3.519965296,-3.519861652,-3.519770961,-3.519756032
RAS,CH,LPG,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
RAS,CH,KRS,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
RAS,CH,OLQ,,,,,,,,,,,,,,,,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.119786494,-3.249347156,-3.371661684,-3.485768381,-3.596304062,-3.709678495,-3.422091045,-3.472475137,-3.509663134,-3.532663376,-3.540479208,-3.531175066,-3.501424495,-3.514646736,-3.521675336,-3.52367737,-3.522179702,-3.519129784,-3.517122237,-3.519738527,-3.520587159,-3.520405797,-3.519860534,-3.519474006,-3.519531377,-3.5199329,-3.519965296,-3.519861652,-3.519770961,-3.519756032
RAS,CH,NGS,,,,,,,,,,,,,,,,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,4.427652498,4.901431093,4.384959096,5.036381864,4.191562973,4.076387619,4.503062524,4.515630861,4.451330823,4.462392777,4.36672793,4.395922089,4.449177834,4.440197052,4.427624751,4.423673739,4.417220566,4.425636005,4.430588325,4.427490073,4.425372243,4.424996825,4.425217339,4.426550135,4.42670249,4.426054851,4.425815647,4.425889548,4.426038335,4.426175168
RAS,CH,OGS,,,,,,,,,,,,,,,,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,4.427652498,4.901431093,4.384959096,5.036381864,4.191562973,4.076387619,4.503062524,4.515630861,4.451330823,4.462392777,4.36672793,4.395922089,4.449177834,4.440197052,4.427624751,4.423673739,4.417220566,4.425636005,4.430588325,4.427490073,4.425372243,4.424996825,4.425217339,4.426550135,4.42670249,4.426054851,4.425815647,4.425889548,4.426038335,4.426175168
*RAS,CH,STE1CL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,CH,STE1CH,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,CH,STE1CD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,CH,STE1CR,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,CH,STE1CG,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,CH,STE1CB,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,STE1AL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,STE1AH,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,STE1AD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,STE1AR,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,STE1AG,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,STE1AB,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,BMSWAS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CH,ELC,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,LGN,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,HCL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,GDO,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
RAS,BM,RFO,,,,,,,,,,,,,,,,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.119786494,-3.249347156,-3.371661684,-3.485768381,-3.596304062,-3.709678495,-3.422091045,-3.472475137,-3.509663134,-3.532663376,-3.540479208,-3.531175066,-3.501424495,-3.514646736,-3.521675336,-3.52367737,-3.522179702,-3.519129784,-3.517122237,-3.519738527,-3.520587159,-3.520405797,-3.519860534,-3.519474006,-3.519531377,-3.5199329,-3.519965296,-3.519861652,-3.519770961,-3.519756032
RAS,BM,LPG,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
RAS,BM,KRS,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
RAS,BM,OLQ,,,,,,,,,,,,,,,,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.119786494,-3.249347156,-3.371661684,-3.485768381,-3.596304062,-3.709678495,-3.422091045,-3.472475137,-3.509663134,-3.532663376,-3.540479208,-3.531175066,-3.501424495,-3.514646736,-3.521675336,-3.52367737,-3.522179702,-3.519129784,-3.517122237,-3.519738527,-3.520587159,-3.520405797,-3.519860534,-3.519474006,-3.519531377,-3.5199329,-3.519965296,-3.519861652,-3.519770961,-3.519756032
RAS,BM,NGS,,,,,,,,,,,,,,,,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,4.427652498,4.901431093,4.384959096,5.036381864,4.191562973,4.076387619,4.503062524,4.515630861,4.451330823,4.462392777,4.36672793,4.395922089,4.449177834,4.440197052,4.427624751,4.423673739,4.417220566,4.425636005,4.430588325,4.427490073,4.425372243,4.424996825,4.425217339,4.426550135,4.42670249,4.426054851,4.425815647,4.425889548,4.426038335,4.426175168
RAS,BM,OGS,,,,,,,,,,,,,,,,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,4.427652498,4.901431093,4.384959096,5.036381864,4.191562973,4.076387619,4.503062524,4.515630861,4.451330823,4.462392777,4.36672793,4.395922089,4.449177834,4.440197052,4.427624751,4.423673739,4.417220566,4.425636005,4.430588325,4.427490073,4.425372243,4.424996825,4.425217339,4.426550135,4.42670249,4.426054851,4.425815647,4.425889548,4.426038335,4.426175168
*RAS,BM,STE1CL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,BM,STE1CH,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,BM,STE1CD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,BM,STE1CR,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,BM,STE1CG,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,BM,STE1CB,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,STE1AL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,STE1AH,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,STE1AD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,STE1AR,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,STE1AG,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,STE1AB,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,BMSWAS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,BM,ELC,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PP,LGN,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PP,HCL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PP,GDO,,,,,,,,,,,,,,,,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.399167094,-1.457248837,-1.512082373,-1.563238563,-1.612799419,-1.663641959,-1.534696374,-1.557284588,-1.573957213,-1.584269686,-1.587774873,-1.583604116,-1.570264475,-1.576192492,-1.579343809,-1.580241575,-1.579570223,-1.578202782,-1.577302559,-1.578475573,-1.578856087,-1.5787748,-1.578530337,-1.578357023,-1.57838273,-1.578562758,-1.578577289,-1.578530823,-1.57849016,-1.578483464
