dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,TX,STE1AG,29.44254205,23.98421785,22.64511394,19.4452,23.2584,25.043,24.9135,25.5273,26.1924,29.1702,31.223,31.6005,30.9983,29.7945,27.7725,29.543,28.5286,27.5166,26.2414,24.8178,23.8836,22.8498,20.984,20.3227,19.7467,18.845,28.6077,27.0929,22.59983333,22.86913889,23.29354537,23.88468627,24.72463398,24.07745631,23.57488236,23.73739053,23.88209913,23.98019143,23.99610895,23.87468812,23.84089342,23.8852286,23.90986827,23.91449647,23.9035473,23.88812036,23.89035907,23.89860335,23.90083247,23.8993265,23.89679818,23.89567332,23.89693215,23.89802766,23.89793171,23.89744825,23.89713521,23.89719139,23.8974444,23.89752977,23.89744679,23.89736597,23.89735225,23.89738843,23.89742127,23.89741741,23.89739869,23.89739067,23.89739479,23.89740187,23.89740412,23.89740126,23.89739856,23.89739854,23.89739986,23.8974007,23.89740051,23.89739991,23.89739968,23.89739987,23.89740009,23.89740012,23.89740003,23.89739995,23.89739996,23.8974,23.89740002,23.89740001,23.8974,23.89739999,23.8974
RAS,TX,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
RAS,TX,BMSWAS,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
RAS,TX,STE1AH2F,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1001,1002,1003,1004,1005,1006,1007,1008,1005.5,1005.916667,1006.236111,1006.44213,1006.515818,1006.435121,1006.174308,1006.286692,1006.348363,1006.367072,1006.354562,1006.327686,1006.309781,1006.332359,1006.339971,1006.338572,1006.333822,1006.330365,1006.330812,1006.334317,1006.334643,1006.333755,1006.332952,1006.332807,1006.333214,1006.333615,1006.333498,1006.333307,1006.333232,1006.333279,1006.333358,1006.333381,1006.333342,1006.333317,1006.333318,1006.333333,1006.333341,1006.333339,1006.333332,1006.33333,1006.333332,1006.333334,1006.333335,1006.333334,1006.333333,1006.333333,1006.333333,1006.333334,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333,1006.333333
RAS,TX,ELC,625.9577,497.24,377.6421,313.2911,273.1645,285.8567,276.6757,275.8807,275.8125,298.6203,334.1531,326.5274,320.9888,329.6167,322.1374,355.3952,342.6485,330.4934,315.1773,298.0791,286.8582,274.4415,252.0324,244.0905,237.1712,226.342,309.8724,297.5669,261.1792333,262.7037056,265.8059065,270.5783576,277.9510838,272.6308645,268.4748585,269.6907961,270.8553112,271.6968786,271.8832988,270.8720013,270.5788574,270.9295239,271.1359785,271.1827564,271.0970694,270.9660311,270.9817028,271.0488437,271.0687303,271.0575223,271.0366499,271.02658,271.0366715,271.045833,271.0453312,271.0414313,271.0387495,271.0390994,271.041186,271.0419384,271.0412893,271.0406156,271.0404797,271.0407681,271.0410462,271.0410229,271.0408703,271.0408005,271.0408313,271.0408899,271.0409101,271.0408875,271.0408649,271.040864,271.0408746,271.0408818,271.0408805,271.0408756,271.0408736,271.040875,271.0408769,271.0408772,271.0408765,271.0408758,271.0408758,271.0408762,271.0408764,271.0408763,271.0408762,271.0408761,271.0408762
RAS,EN,LGN,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,136.8811018,137.6800605,139.3058892,141.8070772,145.6710402,142.882773,140.704657,141.3419162,141.9522254,142.3932815,142.4909822,141.9609725,141.8073391,141.9911195,142.0993201,142.1238358,142.0789282,142.0102525,142.0184659,142.0536537,142.064076,142.058202,142.0472631,142.0419855,142.0472744,142.0520758,142.0518128,142.0497689,142.0483634,142.0485468,142.0496403,142.0500347,142.0496945,142.0493414,142.0492702,142.0494213,142.0495671,142.0495549,142.0494749,142.0494383,142.0494544,142.0494852,142.0494958,142.0494839,142.0494721,142.0494716,142.0494772,142.049481,142.0494803,142.0494777,142.0494766,142.0494774,142.0494783,142.0494785,142.0494781,142.0494778,142.0494778,142.049478,142.0494781,142.0494781,142.049478,142.0494779,142.049478
RAS,EN,HCL,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,194.7206741,144.738586,126.6963873,114.8346217,85.18226358,88.00051668,122.1149712,113.5945577,108.4038864,105.3551362,103.775222,106.8740484,110.019637,108.0037479,107.0719463,106.8499563,107.099093,107.6530715,107.7829087,107.4101206,107.3111827,107.3510555,107.434572,107.4904852,107.4633874,107.4101339,107.4101361,107.4266283,107.4392238,107.4399991,107.4315848,107.4262843,107.4289761,107.4321161,107.4330307,107.4319985,107.4306651,107.4305118,107.4312164,107.4315898,107.431502,107.4312473,107.4311221,107.4311982,107.4313126,107.4313287,107.4312851,107.431249,107.4312493,107.4312705,107.4312825,107.4312775,107.431269,107.4312663,107.4312692,107.4312725,107.4312728,107.4312712,107.4312702,107.4312704,107.431271,107.4312714,107.4312712,107.4312709,107.4312708,107.4312709,107.431271,107.431271,107.431271,107.431271
RAS,EN,GDO,320.3869921,260.9907597,246.4189379,211.5982081,193.1249563,203.6244323,242.69124,239.62032,237.2106,231.09696,230.31576,220.97724,217.887,208.96632,201.003,200.87352,193.74552,186.8706,178.212,168.54264,162.19896,155.17836,142.50732,138.01596,134.10432,127.98108,120.2856,113.91636,129.46844,127.2952933,125.5085156,124.0758815,123.4250151,123.9482509,125.6202327,124.9788648,124.5927934,124.4401731,124.5008883,124.6802006,124.8021922,124.6658521,124.6136833,124.6171649,124.6466635,124.6709594,124.6694192,124.6472904,124.6441968,124.6492824,124.6546353,124.6559639,124.6534647,124.6508056,124.6513914,124.6525906,124.6531419,124.652893,124.6523812,124.6522006,124.6524331,124.6526067,124.6526094,124.6525207,124.6524586,124.6524715,124.6525167,124.6525306,124.6525179,124.6525027,124.6524997,124.6525065,124.6525124,124.6525116,124.6525085,124.6525069,124.6525076,124.6525089,124.6525093,124.6525088,124.6525083,124.6525083,124.6525085,124.6525087,124.6525087,124.6525086,124.6525085,124.6525085,124.6525086,124.6525086,124.6525086
RAS,EN,RFO,266.9891601,217.4922997,205.349115,176.3318401,160.9374636,169.6870269,202.2427,199.6836,197.6755,192.5808,191.9298,184.1477,181.5725,174.1386,167.5025,167.3946,161.4546,155.7255,148.51,140.4522,135.1658,129.3153,118.7561,115.0133,111.7536,106.6509,100.238,94.9303,107.8903667,106.0794111,104.5904296,103.3965679,102.8541792,103.2902091,104.6835273,104.149054,103.8273279,103.7001442,103.7507403,103.9001671,104.0018268,103.8882101,103.8447361,103.8476374,103.8722196,103.8924662,103.8911827,103.872742,103.870164,103.874402,103.8788627,103.8799699,103.8778872,103.8756713,103.8761595,103.8771588,103.8776183,103.8774108,103.8769843,103.8768338,103.8770276,103.8771723,103.8771745,103.8771006,103.8770489,103.8770596,103.8770972,103.8771088,103.8770983,103.8770856,103.8770831,103.8770888,103.8770936,103.877093,103.8770904,103.8770891,103.8770897,103.8770908,103.8770911,103.8770907,103.8770903,103.8770903,103.8770905,103.8770906,103.8770906,103.8770905,103.8770904,103.8770905,103.8770905,103.8770905,103.8770905
RAS,EN,LPG,352.4256913,287.0898357,271.0608317,232.7580289,212.4374519,223.9868755,266.960364,263.582352,260.93166,254.206656,253.347336,243.074964,239.6757,229.862952,221.1033,220.960872,213.120072,205.55766,196.0332,185.396904,178.418856,170.696196,156.758052,151.817556,147.514752,140.779188,132.31416,125.307996,142.415284,140.0248227,138.0593671,136.4834696,135.7675166,136.343076,138.182256,137.4767513,137.0520728,136.8841904,136.9509772,137.1482206,137.2824114,137.1324373,137.0750516,137.0788814,137.1113299,137.1380554,137.1363612,137.1120194,137.1086165,137.1142106,137.1200988,137.1215603,137.1188111,137.1158861,137.1165306,137.1178496,137.1184561,137.1181823,137.1176193,137.1174207,137.1176764,137.1178674,137.1178704,137.1177728,137.1177045,137.1177187,137.1177684,137.1177837,137.1177697,137.117753,137.1177496,137.1177572,137.1177636,137.1177628,137.1177593,137.1177576,137.1177584,137.1177598,137.1177602,137.1177597,137.1177592,137.1177591,137.1177594,137.1177596,137.1177595,137.1177594,137.1177594,137.1177594,137.1177594,137.1177595,137.1177594
RAS,EN,KRS,352.4256913,287.0898357,271.0608317,232.7580289,212.4374519,223.9868755,266.960364,263.582352,260.93166,254.206656,253.347336,243.074964,239.6757,229.862952,221.1033,220.960872,213.120072,205.55766,196.0332,185.396904,178.418856,170.696196,156.758052,151.817556,147.514752,140.779188,132.31416,125.307996,142.415284,140.0248227,138.0593671,136.4834696,135.7675166,136.343076,138.182256,137.4767513,137.0520728,136.8841904,136.9509772,137.1482206,137.2824114,137.1324373,137.0750516,137.0788814,137.1113299,137.1380554,137.1363612,137.1120194,137.1086165,137.1142106,137.1200988,137.1215603,137.1188111,137.1158861,137.1165306,137.1178496,137.1184561,137.1181823,137.1176193,137.1174207,137.1176764,137.1178674,137.1178704,137.1177728,137.1177045,137.1177187,137.1177684,137.1177837,137.1177697,137.117753,137.1177496,137.1177572,137.1177636,137.1177628,137.1177593,137.1177576,137.1177584,137.1177598,137.1177602,137.1177597,137.1177592,137.1177591,137.1177594,137.1177596,137.1177595,137.1177594,137.1177594,137.1177594,137.1177594,137.1177595,137.1177594
RAS,EN,OLQ,293.6880761,239.2415297,225.8840264,193.9650241,177.0312099,186.6557296,222.46697,219.65196,217.44305,211.83888,211.12278,202.56247,199.72975,191.55246,184.25275,184.13406,177.60006,171.29805,163.361,154.49742,148.68238,142.24683,130.63171,126.51463,122.92896,117.31599,110.2618,104.42333,118.6794033,116.6873522,115.0494726,113.7362247,113.1395971,113.61923,115.15188,114.5639594,114.2100606,114.0701587,114.1258143,114.2901838,114.4020095,114.2770311,114.2292097,114.2324012,114.2594416,114.2817128,114.280301,114.2600162,114.2571804,114.2618422,114.266749,114.2679669,114.265676,114.2632384,114.2637755,114.2648747,114.2653801,114.2651519,114.2646828,114.2645172,114.2647304,114.2648895,114.264892,114.2648106,114.2647537,114.2647656,114.264807,114.2648197,114.2648081,114.2647941,114.2647914,114.2647976,114.264803,114.2648023,114.2647994,114.264798,114.2647986,114.2647998,114.2648002,114.2647997,114.2647993,114.2647993,114.2647995,114.2647996,114.2647996,114.2647995,114.2647995,114.2647995,114.2647995,114.2647995,114.2647995
RAS,EN,NGS,29.44254205,23.98421785,22.64511394,19.4452,23.2584,25.043,24.9135,25.5273,26.1924,29.1702,31.223,31.6005,30.9983,29.7945,27.7725,29.543,28.5286,27.5166,26.2414,24.8178,23.8836,22.8498,20.984,20.3227,19.7467,18.845,28.6077,27.0929,22.59983333,22.86913889,23.29354537,23.88468627,24.72463398,24.07745631,23.57488236,23.73739053,23.88209913,23.98019143,23.99610895,23.87468812,23.84089342,23.8852286,23.90986827,23.91449647,23.9035473,23.88812036,23.89035907,23.89860335,23.90083247,23.8993265,23.89679818,23.89567332,23.89693215,23.89802766,23.89793171,23.89744825,23.89713521,23.89719139,23.8974444,23.89752977,23.89744679,23.89736597,23.89735225,23.89738843,23.89742127,23.89741741,23.89739869,23.89739067,23.89739479,23.89740187,23.89740412,23.89740126,23.89739856,23.89739854,23.89739986,23.8974007,23.89740051,23.89739991,23.89739968,23.89739987,23.89740009,23.89740012,23.89740003,23.89739995,23.89739996,23.8974,23.89740002,23.89740001,23.8974,23.89739999,23.8974
RAS,EN,OGS,32.38679625,26.38263964,24.90962534,21.38972,25.58424,27.5473,27.40485,28.08003,28.81164,32.08722,34.3453,34.76055,34.09813,32.77395,30.54975,32.4973,31.38146,30.26826,28.86554,27.29958,26.27196,25.13478,23.0824,22.35497,21.72137,20.7295,31.46847,29.80219,24.85981667,25.15605278,25.62289991,26.27315489,27.19709737,26.48520194,25.93237059,26.11112958,26.27030905,26.37821057,26.39571985,26.26215693,26.22498276,26.27375146,26.3008551,26.30594611,26.29390204,26.2769324,26.27939498,26.28846368,26.29091572,26.28925915,26.28647799,26.28524065,26.28662536,26.28783043,26.28772488,26.28719308,26.28684873,26.28691052,26.28718884,26.28728275,26.28719147,26.28710256,26.28708748,26.28712727,26.28716339,26.28715915,26.28713855,26.28712974,26.28713426,26.28714206,26.28714453,26.28714138,26.28713842,26.2871384,26.28713984,26.28714077,26.28714056,26.2871399,26.28713965,26.28713985,26.28714009,26.28714014,26.28714003,26.28713994,26.28713995,26.28714,26.28714003,26.28714002,26.28713999,26.28713999,26.28714
*RAS,EN,STE1CL,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,136.8811018,137.6800605,139.3058892,141.8070772,145.6710402,142.882773,140.704657,141.3419162,141.9522254,142.3932815,142.4909822,141.9609725,141.8073391,141.9911195,142.0993201,142.1238358,142.0789282,142.0102525,142.0184659,142.0536537,142.064076,142.058202,142.0472631,142.0419855,142.0472744,142.0520758,142.0518128,142.0497689,142.0483634,142.0485468,142.0496403,142.0500347,142.0496945,142.0493414,142.0492702,142.0494213,142.0495671,142.0495549,142.0494749,142.0494383,142.0494544,142.0494852,142.0494958,142.0494839,142.0494721,142.0494716,142.0494772,142.049481,142.0494803,142.0494777,142.0494766,142.0494774,142.0494783,142.0494785,142.0494781,142.0494778,142.0494778,142.049478,142.0494781,142.0494781,142.049478,142.0494779,142.049478
*RAS,EN,STE1CH,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,136.8811018,137.6800605,139.3058892,141.8070772,145.6710402,142.882773,140.704657,141.3419162,141.9522254,142.3932815,142.4909822,141.9609725,141.8073391,141.9911195,142.0993201,142.1238358,142.0789282,142.0102525,142.0184659,142.0536537,142.064076,142.058202,142.0472631,142.0419855,142.0472744,142.0520758,142.0518128,142.0497689,142.0483634,142.0485468,142.0496403,142.0500347,142.0496945,142.0493414,142.0492702,142.0494213,142.0495671,142.0495549,142.0494749,142.0494383,142.0494544,142.0494852,142.0494958,142.0494839,142.0494721,142.0494716,142.0494772,142.049481,142.0494803,142.0494777,142.0494766,142.0494774,142.0494783,142.0494785,142.0494781,142.0494778,142.0494778,142.049478,142.0494781,142.0494781,142.049478,142.0494779,142.049478
*RAS,EN,STE1CD,320.3869921,260.9907597,246.4189379,211.5982081,193.1249563,203.6244323,242.69124,239.62032,237.2106,231.09696,230.31576,220.97724,217.887,208.96632,201.003,200.87352,193.74552,186.8706,178.212,168.54264,162.19896,155.17836,142.50732,138.01596,134.10432,127.98108,120.2856,113.91636,129.46844,127.2952933,125.5085156,124.0758815,123.4250151,123.9482509,125.6202327,124.9788648,124.5927934,124.4401731,124.5008883,124.6802006,124.8021922,124.6658521,124.6136833,124.6171649,124.6466635,124.6709594,124.6694192,124.6472904,124.6441968,124.6492824,124.6546353,124.6559639,124.6534647,124.6508056,124.6513914,124.6525906,124.6531419,124.652893,124.6523812,124.6522006,124.6524331,124.6526067,124.6526094,124.6525207,124.6524586,124.6524715,124.6525167,124.6525306,124.6525179,124.6525027,124.6524997,124.6525065,124.6525124,124.6525116,124.6525085,124.6525069,124.6525076,124.6525089,124.6525093,124.6525088,124.6525083,124.6525083,124.6525085,124.6525087,124.6525087,124.6525086,124.6525085,124.6525085,124.6525086,124.6525086,124.6525086
*RAS,EN,STE1CR,266.9891601,217.4922997,205.349115,176.3318401,160.9374636,169.6870269,202.2427,199.6836,197.6755,192.5808,191.9298,184.1477,181.5725,174.1386,167.5025,167.3946,161.4546,155.7255,148.51,140.4522,135.1658,129.3153,118.7561,115.0133,111.7536,106.6509,100.238,94.9303,107.8903667,106.0794111,104.5904296,103.3965679,102.8541792,103.2902091,104.6835273,104.149054,103.8273279,103.7001442,103.7507403,103.9001671,104.0018268,103.8882101,103.8447361,103.8476374,103.8722196,103.8924662,103.8911827,103.872742,103.870164,103.874402,103.8788627,103.8799699,103.8778872,103.8756713,103.8761595,103.8771588,103.8776183,103.8774108,103.8769843,103.8768338,103.8770276,103.8771723,103.8771745,103.8771006,103.8770489,103.8770596,103.8770972,103.8771088,103.8770983,103.8770856,103.8770831,103.8770888,103.8770936,103.877093,103.8770904,103.8770891,103.8770897,103.8770908,103.8770911,103.8770907,103.8770903,103.8770903,103.8770905,103.8770906,103.8770906,103.8770905,103.8770904,103.8770905,103.8770905,103.8770905,103.8770905
*RAS,EN,STE1CG,29.44254205,23.98421785,22.64511394,19.4452,23.2584,25.043,24.9135,25.5273,26.1924,29.1702,31.223,31.6005,30.9983,29.7945,27.7725,29.543,28.5286,27.5166,26.2414,24.8178,23.8836,22.8498,20.984,20.3227,19.7467,18.845,28.6077,27.0929,22.59983333,22.86913889,23.29354537,23.88468627,24.72463398,24.07745631,23.57488236,23.73739053,23.88209913,23.98019143,23.99610895,23.87468812,23.84089342,23.8852286,23.90986827,23.91449647,23.9035473,23.88812036,23.89035907,23.89860335,23.90083247,23.8993265,23.89679818,23.89567332,23.89693215,23.89802766,23.89793171,23.89744825,23.89713521,23.89719139,23.8974444,23.89752977,23.89744679,23.89736597,23.89735225,23.89738843,23.89742127,23.89741741,23.89739869,23.89739067,23.89739479,23.89740187,23.89740412,23.89740126,23.89739856,23.89739854,23.89739986,23.8974007,23.89740051,23.89739991,23.89739968,23.89739987,23.89740009,23.89740012,23.89740003,23.89739995,23.89739996,23.8974,23.89740002,23.89740001,23.8974,23.89739999,23.8974
*RAS,EN,STE1CB,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
RAS,EN,STE1AL,154.6264753,136.0526721,132.0515113,106.2326411,103.5822864,122.5042736,93.28921154,90.22933495,85.65592819,74.6918219,68.84962647,76.89509469,66.86155,75.45666583,119.0547049,119.7242678,114.2536979,156.9071462,246.002929,115.0850224,150.3391597,143.8317067,132.0873492,127.9250886,124.2987612,118.6232992,162.4006433,155.951469,136.8811018,137.6800605,139.3058892,141.8070772,145.6710402,142.882773,140.704657,141.3419162,141.9522254,142.3932815,142.4909822,141.9609725,141.8073391,141.9911195,142.0993201,142.1238358,142.0789282,142.0102525,142.0184659,142.0536537,142.064076,142.058202,142.0472631,142.0419855,142.0472744,142.0520758,142.0518128,142.0497689,142.0483634,142.0485468,142.0496403,142.0500347,142.0496945,142.0493414,142.0492702,142.0494213,142.0495671,142.0495549,142.0494749,142.0494383,142.0494544,142.0494852,142.0494958,142.0494839,142.0494721,142.0494716,142.0494772,142.049481,142.0494803,142.0494777,142.0494766,142.0494774,142.0494783,142.0494785,142.0494781,142.0494778,142.0494778,142.049478,142.0494781,142.0494781,142.049478,142.0494779,142.049478
